CD3E
CD3G
CD247
CD4
CD8A
CD8B
CD44
CD34
CD68
CD14
FOXP3
CXCR3
CXCR6
ITGAE
GZMA
GZMB
GZMH
GZMK
PRF1
KLRD1
NCAM1
IFNG
FAS
FASLG
TNF
PDCD1
LAG3
HAVCR2
TIGIT
CTLA4
TOX
TOX2
ENTPD1
BATF
CXCL13
FOXP3
IL2RA
CCR8
IKZF2
IL10
CD274
LGALS9
PVR
NECTIN2
CD80
CD86
CTHRC1
PDGFRA
PDGFRB
LRRC15
FAP
POSTN
MMP11
ADAM12
COL4A1
COL4A2
COL5A1
COL5A2
TNC
THBS1
THBS2
LOX
LOXL1
LOXL2
SERPINH1
P4HA1
CCN2
TGFB1
TGFB2
TGFB3
TGFBR1
TGFBR2
TGFBR3
SMAD2
SMAD3
SMAD4
SMAD7
STAT3
PDGFA
PDGFB
PDGFC
PDGFD
FGF1
FGF2
FGF7
FGF9
FGF10
FGFR1
FGFR2
FGFR3
FGFR4
CXCL12
CXCR4
IFNGR1
IFNGR2
JAK1
JAK2
STAT1
IRF1
CXCL9
CXCL10
CXCL11
GBP1
IDO1
BNIP3
CA9
EGLN3
HIF1A
EPAS1
PDK1
SLC2A1
LDHA
NDRG1
VEGFA
ADM
ANGPTL4
MKI67
PCNA
MCM2
MCM3
MCM4
MCM5
MCM6
MCM7
TOP2A
BIRC5
UBE2C
CCNB1
CCNB2
CDK1
RRM2
TYMS
STMN1
MMP14
MMP9
PLAU
PLAUR
AXL
LAMC2
SNAI1
SNAI2
ZEB1
ZEB2
TWIST1
CDH1
CDH2
ITGA5
ITGA6
ITGB4
PECAM1
PLVAP
KDR
ENG
HSPG2
LAMC1
CD68
CSF1R
TREM2
MARCO
FCGR3A
LPL
HGF
MET
TNFRSF1A
TNFRSF1B
COMP
PDPN
MAPK1
ROCK1
RHOA
ICOS
